	 Total Time (s)	Calls (kCalls)
Frame	0
Others	2.45568	2812.61
Dist_HAD_64x64	0.024876	3.185
TR_DCT_32x32	0.0286175	3.876
TR_iDCT_32x32	0.0362082	3.867
Dist_SSE_32x32	0.00647915	3.876
TR_DCT_16x16	0.0160802	13.201
TR_iDCT_16x16	0.0192622	12.2
Dist_SSE_16x16	0.00492457	13.201
Dist_HAD_32x32	0.0274043	13.65
TR_DCT_8x8	0.0258904	95.309
TR_iDCT_8x8	0.0246671	67.534
Dist_SSE_8x8	0.00924615	95.309
Dist_HAD_16x16	0.0310436	54.6
TR_DST_4x4	0.0473708	283.57
TR_iDST_4x4	0.0210867	123.871
Dist_SSE_4x4	0.043791	702.98
Dist_HAD_8x8	0.0409546	218.4
TR_DCT_4x4	0.0232477	182.56
TR_iDCT_4x4	0.00851102	47.819
Dist_HAD_4x4	0.0739523	873.6

Frame	1
Others	3.90028	6254.22
TR_DCT_32x32	0.0354341	4.652
Dist_SSE_32x32	0.0203044	11.82
TR_DCT_16x16	0.0416858	33.358
Dist_SSE_16x16	0.0240564	61.824
TR_DCT_8x8	0.0397703	140.869
Dist_SSE_8x8	0.0255872	231.764
Dist_SSE_64x64	0.00727069	0.909
Dist_SAD_64x64	0.0103449	7.735
Dist_SAD_64x64sub	0.00337116	2.642
INTERPOL_HALF_64x64	0.00993855	0.182
Dist_HAD_64x64	0.0327965	4.011
INTERPOL_QUARTER_64x64	0.0220553	0.182
Dist_SAD_32x64	0.0106117	15.47
Dist_SAD_32x64sub	0.00283513	4.308
INTERPOL_HALF_32x64	0.0102674	0.364
Dist_HAD_32x64	0.0320454	7.644
INTERPOL_QUARTER_32x64	0.0222429	0.364
Dist_SAD_64x32	0.0107783	15.47
Dist_SAD_64x32sub	0.00305613	4.635
INTERPOL_HALF_64x32	0.0102254	0.364
Dist_HAD_64x32	0.0312439	7.644
INTERPOL_QUARTER_64x32	0.0220808	0.364
TR_DCT_4x4	0.0663534	516.308
Dist_SSE_4x4	0.0820104	1148.49
Dist_SAD_32x32	0.0129665	33.15
Dist_SAD_32x32sub	0.00433035	11.513
INTERPOL_HALF_32x32	0.0116916	0.78
Dist_HAD_32x32	0.0325247	15.3
INTERPOL_QUARTER_32x32	0.024676	0.78
Dist_SAD_16x32	0.016124	66.3
Dist_SAD_16x32sub	0.00474973	20.181
INTERPOL_HALF_16x32	0.0121817	1.56
Dist_HAD_16x32	0.0371663	32.76
INTERPOL_QUARTER_16x32	0.0255839	1.56
Dist_SAD_32x16	0.0166995	66.3
Dist_SAD_32x16sub	0.00478044	20.697
INTERPOL_HALF_32x16	0.0126065	1.56
Dist_HAD_32x16	0.0373511	32.76
INTERPOL_QUARTER_32x16	0.0259808	1.56
Dist_SAD_16x16	0.024568	132.6
Dist_SAD_16x16sub	0.00730598	43.831
INTERPOL_HALF_16x16	0.0144097	3.12
Dist_HAD_16x16	0.0365984	57.28
INTERPOL_QUARTER_16x16	0.0276841	3.12
Dist_SAD_8x16	0.0249429	265.2
Dist_SAD_8x16sub	0.00761698	75.926
INTERPOL_HALF_8x16	0.016099	6.24
Dist_HAD_8x16	0.0430099	131.04
INTERPOL_QUARTER_8x16	0.0303853	6.24
Dist_SAD_16x8	0.0482124	341.841
INTERPOL_HALF_16x8	0.0167506	6.24
Dist_HAD_16x8	0.0435866	131.04
INTERPOL_QUARTER_16x8	0.0304537	6.24
Dist_SAD_8x8	0.0743633	687.607
INTERPOL_HALF_8x8	0.020935	12.48
Dist_HAD_8x8	0.047377	226.285
INTERPOL_QUARTER_8x8	0.0346745	12.48
Dist_SAD_4x8	0.0361467	344.522
INTERPOL_HALF_4x8	0.0143269	12.48
Dist_HAD_4x8	0.0443368	299.52
INTERPOL_QUARTER_4x8	0.0213539	12.48
Dist_SAD_8x4	0.0382095	344.72
INTERPOL_HALF_8x4	0.0150099	12.48
Dist_HAD_8x4	0.0451144	299.52
INTERPOL_QUARTER_8x4	0.0223019	12.48
TR_iDCT_32x32	0.0220431	2.196
TR_iDCT_16x16	0.0147387	8.236
TR_iDCT_8x8	0.00717225	15.118
TR_iDCT_4x4	0.00358258	14.549
Dist_HAD_16x64	0.000533721	0.23
Dist_HAD_48x64	0.00150363	0.23
Dist_SAD_8x32	0.00186249	10.37
Dist_SAD_8x32sub	0.000758051	4.578
INTERPOL_HALF_8x32	0.00109928	0.244
Dist_HAD_8x32	0.00341048	5.254
INTERPOL_QUARTER_8x32	0.00225115	0.244
Dist_SAD_24x32	0.00405331	10.37
Dist_SAD_24x32sub	0.00131919	3.677
INTERPOL_HALF_24x32	0.0027312	0.244
Dist_HAD_24x32	0.0088347	5.254
INTERPOL_QUARTER_24x32	0.00601106	0.244
Dist_HAD_16x4	0.00157145	7.062
Dist_HAD_16x12	0.00334923	7.062
Dist_HAD_4x16	0.00272487	11.064
Dist_HAD_12x16	0.00531601	11.064
Dist_SAD_4x16	0.00297308	20.57
Dist_SAD_4x16sub	0.000777886	7.566
INTERPOL_HALF_4x16	0.000844892	0.484
INTERPOL_QUARTER_4x16	0.00143784	0.484
Dist_SAD_12x16	0.00455638	20.57
Dist_SAD_12x16sub	0.00160407	8.054
INTERPOL_HALF_12x16	0.0017953	0.484
INTERPOL_QUARTER_12x16	0.00353948	0.484
TR_DST_4x4	0.000679725	2.469
TR_iDST_4x4	0.00033216	1.415
Dist_SAD_32x8	0.00225958	7.424
INTERPOL_HALF_32x8	0.000558799	0.116
Dist_HAD_32x8	0.00185297	2.626
INTERPOL_QUARTER_32x8	0.00110299	0.116
Dist_SAD_32x24	0.00216452	4.93
Dist_SAD_32x24sub	0.000840697	2.116
INTERPOL_HALF_32x24	0.00136643	0.116
Dist_HAD_32x24	0.00465207	2.626
INTERPOL_QUARTER_32x24	0.00298523	0.116
Dist_SAD_16x4	0.00280725	15.49
INTERPOL_HALF_16x4	0.000515866	0.272
INTERPOL_QUARTER_16x4	0.000865476	0.272
