	 Total Time (s)	Calls (kCalls)
Frame	0
Others	0.589874	154.125
DIST_HAD_64x64	0.023573	3.185
TR_DCT_32x32_0	0.0396299	3.653
TR_iDCT_32x32_0	0.0474458	3.63
DIST_SSE_32x32	0.00246622	3.653
TR_DCT_16x16_0	0.00782075	4.822
TR_iDCT_16x16_0	0.00857526	4.342
DIST_SSE_16x16	0.000964321	4.822
DIST_HAD_32x32	0.0236826	12.74
TR_DCT_8x8_0	0.0063779	21.454
TR_iDCT_8x8_0	0.00587953	14.95
DIST_SSE_8x8	0.00169766	21.454
TR_DCT_4x4_0	0.0022826	23.4
DIST_SSE_4x4	0.00103364	23.4
TR_iDCT_4x4_0	0.00107371	8.619

Frame	1
Others	0.454885	235.766
TR_DCT_32x32_0	0.0326264	3.014
DIST_SSE_32x32	0.00376913	5.495
TR_DCT_16x16_0	0.0234942	14.682
DIST_SSE_16x16	0.00327385	16.456
TR_DCT_8x8_0	0.00644573	22.014
DIST_SSE_8x8	0.00173195	22.304
DIST_SSE_64x64	0.00289832	0.943
DIST_SAD_64x64	0.0101741	7.735
DIST_SAD_64x64sub	0.00427357	3.342
INTERPOL_HALF_64x64	0.0102144	0.182
DIST_HAD_64x64	0.0299978	4.011
INTERPOL_QUARTER_64x64	0.0212847	0.182
DIST_SAD_32x32	0.0104569	30.94
DIST_SAD_32x32sub	0.0037492	11.064
INTERPOL_HALF_32x32	0.0114185	0.728
DIST_HAD_32x32	0.0342878	18.228
INTERPOL_QUARTER_32x32	0.0233648	0.728
DIST_SAD_32x64	0.0101264	15.47
DIST_SAD_32x64sub	0.00291366	4.448
INTERPOL_HALF_32x64	0.0108585	0.364
DIST_HAD_32x64	0.0285791	7.644
INTERPOL_QUARTER_32x64	0.0226729	0.364
DIST_SAD_64x32	0.010435	15.47
DIST_SAD_64x32sub	0.0034039	5.298
INTERPOL_HALF_64x32	0.0105482	0.364
DIST_HAD_64x32	0.0285061	7.644
INTERPOL_QUARTER_64x32	0.0215739	0.364
TR_iDCT_32x32_0	0.0179811	1.388
TR_iDCT_16x16_0	0.00578255	2.939
TR_iDCT_8x8_0	0.00103546	2.56
TR_DCT_4x4_0	0.000384081	4.2
DIST_SSE_4x4	0.000192059	4.2
TR_iDCT_4x4_0	0.000134345	1

Frame	2
Others	0.584554	381.698
TR_DCT_32x32_0	0.036034	3.332
DIST_SSE_32x32	0.00419276	6.133
TR_DCT_16x16_0	0.02479	15.474
DIST_SSE_16x16	0.00363027	18.058
TR_DCT_8x8_0	0.00721106	24.718
DIST_SSE_8x8	0.00197913	25.378
DIST_SSE_64x64	0.00304788	0.974
DIST_SAD_64x64	0.0204468	15.47
DIST_SAD_64x64sub	0.00891284	6.933
INTERPOL_HALF_64x64	0.020053	0.364
DIST_HAD_64x64	0.0553772	7.497
INTERPOL_QUARTER_64x64	0.0417278	0.364
DIST_SAD_32x32	0.0205749	61.88
DIST_SAD_32x32sub	0.00769754	22.53
INTERPOL_HALF_32x32	0.0227344	1.456
DIST_HAD_32x32	0.0602668	32.172
INTERPOL_QUARTER_32x32	0.0467201	1.456
DIST_SAD_32x64	0.0200863	30.94
DIST_SAD_32x64sub	0.00651138	10.172
INTERPOL_HALF_32x64	0.0216678	0.728
DIST_HAD_32x64	0.0528938	14.196
INTERPOL_QUARTER_32x64	0.0455756	0.728
DIST_SAD_64x32	0.0208363	30.94
DIST_SAD_64x32sub	0.00705576	10.92
INTERPOL_HALF_64x32	0.0206638	0.728
DIST_HAD_64x32	0.0524191	14.196
INTERPOL_QUARTER_64x32	0.0430611	0.728
TR_iDCT_32x32_0	0.0242508	1.865
TR_iDCT_16x16_0	0.0076979	3.907
TR_iDCT_8x8_0	0.00171926	4.246
TR_DCT_4x4_0	0.000550327	5.8
DIST_SSE_4x4	0.000259397	5.8
TR_iDCT_4x4_0	0.000215707	1.614

Frame	3
Others	0.61496	510.129
TR_DCT_32x32_0	0.0359103	3.288
DIST_SSE_32x32	0.00416552	5.987
TR_DCT_16x16_0	0.02507	15.49
DIST_SSE_16x16	0.00360021	17.961
TR_DCT_8x8_0	0.00715976	24.028
DIST_SSE_8x8	0.00193396	24.603
DIST_SSE_64x64	0.00300978	0.97
DIST_SAD_64x64	0.0307682	23.205
DIST_SAD_64x64sub	0.0157607	12.333
INTERPOL_HALF_64x64	0.030241	0.546
DIST_HAD_64x64	0.0804151	10.738
INTERPOL_QUARTER_64x64	0.0637907	0.546
DIST_SAD_32x32	0.0311685	92.82
DIST_SAD_32x32sub	0.0126081	36.395
INTERPOL_HALF_32x32	0.034044	2.184
DIST_HAD_32x32	0.0847046	45.136
INTERPOL_QUARTER_32x32	0.0705512	2.184
DIST_SAD_32x64	0.0299656	46.41
DIST_SAD_32x64sub	0.0104699	16.392
INTERPOL_HALF_32x64	0.0323561	1.092
DIST_HAD_32x64	0.0769977	20.748
INTERPOL_QUARTER_32x64	0.0679921	1.092
DIST_SAD_64x32	0.031364	46.41
DIST_SAD_64x32sub	0.0111071	16.986
INTERPOL_HALF_64x32	0.0313289	1.092
DIST_HAD_64x32	0.0773494	20.748
INTERPOL_QUARTER_64x32	0.0651378	1.092
TR_iDCT_16x16_0	0.00754555	3.87
TR_iDCT_32x32_0	0.022656	1.738
TR_iDCT_8x8_0	0.00139489	3.501
TR_DCT_4x4_0	0.000442134	4.72
DIST_SSE_4x4	0.000210968	4.72
