	 Total Time (s)	Calls (kCalls)
Frame	0
Others	1.1372	415.796
DIST_HAD_64x64	0.0229324	3.185
TR_DCT_32x32_0	0.0190125	1.8
TR_iDCT_32x32_0	0.0228974	1.795
DIST_SSE_32x32	0.0025129	3.701
TR_DCT_16x16_0	0.00414896	2.596
TR_iDCT_16x16_0	0.00442517	2.293
DIST_SSE_16x16	0.00263954	12.348
DIST_HAD_32x32	0.0233043	12.74
TR_DCT_32x32_1	0.0201177	1.901
TR_iDCT_32x32_1	0.0240064	1.883
TR_DCT_16x16_1	0.0156332	9.752
TR_iDCT_16x16_1	0.0172334	8.933
TR_DCT_8x8_1	0.00725583	24.138
TR_iDCT_8x8_1	0.00649944	15.873
DIST_SSE_8x8	0.00270631	34.138
DIST_HAD_16x16	0.0242555	50.96
TR_DST_4x4_1	0.00293838	23.296
TR_iDST_4x4_1	0.00181052	11.715
DIST_SSE_4x4	0.00464563	102.282
TR_DCT_4x4_1	0.00523853	54.52
TR_DCT_8x8_0	0.00292948	10
TR_iDCT_8x8_0	0.00269905	6.552
TR_iDCT_4x4_1	0.00253949	19.394

Frame	1
Others	1.2466	1048.61
TR_DCT_32x32_0	0.0258722	2.448
DIST_SSE_32x32	0.00762457	11.175
TR_DCT_16x16_0	0.0208185	13.198
DIST_SSE_16x16	0.00780103	36.767
TR_DCT_8x8_0	0.00547309	18.856
DIST_SSE_8x8	0.00639608	74.091
DIST_SSE_64x64	0.00275119	0.91
DIST_SAD_64x64	0.00982486	7.735
DIST_SAD_64x64sub	0.00412992	3.329
INTERPOL_HALF_64x64	0.00979667	0.182
DIST_HAD_64x64	0.0289168	4.011
INTERPOL_QUARTER_64x64	0.0203744	0.182
DIST_SAD_32x64	0.00959813	15.47
DIST_SAD_32x64sub	0.0026831	4.318
INTERPOL_HALF_32x64	0.0106659	0.364
DIST_HAD_32x64	0.0279157	7.644
INTERPOL_QUARTER_32x64	0.0220821	0.364
DIST_SAD_64x32	0.0100994	15.47
DIST_SAD_64x32sub	0.00287005	4.529
INTERPOL_HALF_64x32	0.0102973	0.364
DIST_HAD_64x32	0.0278206	7.644
INTERPOL_QUARTER_64x32	0.0209721	0.364
TR_DCT_32x32_1	0.0235928	2.218
TR_DCT_16x16_1	0.0213498	13.325
TR_DCT_8x8_1	0.0154495	52.056
TR_DCT_4x4_1	0.00658424	69.792
DIST_SSE_4x4	0.00580295	140.423
DIST_SAD_32x32	0.0100854	30.94
DIST_SAD_32x32sub	0.00339104	10.272
INTERPOL_HALF_32x32	0.0111582	0.728
DIST_HAD_32x32	0.0263833	14.364
INTERPOL_QUARTER_32x32	0.0228506	0.728
DIST_SAD_16x16	0.0125206	123.76
DIST_SAD_16x16sub	0.00421273	41.678
INTERPOL_HALF_16x16	0.01457	2.912
DIST_HAD_16x16	0.0316746	66.192
INTERPOL_QUARTER_16x16	0.0279641	2.912
DIST_SAD_16x32	0.0111443	61.88
DIST_SAD_16x32sub	0.00347041	19.541
INTERPOL_HALF_16x32	0.0130707	1.456
DIST_HAD_16x32	0.0287988	30.576
INTERPOL_QUARTER_16x32	0.0263634	1.456
DIST_SAD_32x16	0.0108059	61.88
DIST_SAD_32x16sub	0.00345243	19.865
INTERPOL_HALF_32x16	0.0122536	1.456
DIST_HAD_32x16	0.0287997	30.576
INTERPOL_QUARTER_32x16	0.024312	1.456
TR_iDCT_32x32_0	0.0131598	1.034
TR_iDCT_16x16_0	0.0048817	2.553
DIST_HAD_16x64	0.000459605	0.24
DIST_HAD_48x64	0.00132395	0.24
TR_iDCT_8x8_0	0.00054047	1.321
TR_iDCT_32x32_1	0.00767343	0.605
TR_iDCT_8x8_1	0.00177486	4.339
TR_iDCT_16x16_1	0.00394006	2.02
TR_iDCT_4x4_1	0.000144547	1.023
TR_DST_4x4_1	0.000295804	2.304
TR_iDST_4x4_1	0.00013739	0.888
DIST_HAD_64x16	0.000167882	0.09
DIST_HAD_64x48	0.000493915	0.09

Frame	2
Others	1.65294	1711.13
TR_DCT_32x32_0	0.0298982	2.848
DIST_SSE_32x32	0.00857035	12.658
TR_DCT_16x16_0	0.0235193	14.946
DIST_SSE_16x16	0.00883123	41.894
TR_DCT_8x8_0	0.00633834	21.688
DIST_SSE_8x8	0.00721765	83.95
DIST_SSE_64x64	0.00293072	0.98
DIST_SAD_64x64	0.0197421	15.47
DIST_SAD_64x64sub	0.00684745	5.542
INTERPOL_HALF_64x64	0.0195231	0.364
DIST_HAD_64x64	0.055038	7.602
INTERPOL_QUARTER_64x64	0.0408413	0.364
DIST_SAD_32x64	0.0191218	30.94
DIST_SAD_32x64sub	0.00628182	10.132
INTERPOL_HALF_32x64	0.0209759	0.728
DIST_HAD_32x64	0.0513164	14.196
INTERPOL_QUARTER_32x64	0.0439648	0.728
DIST_SAD_64x32	0.020148	30.94
DIST_SAD_64x32sub	0.00631724	10.068
INTERPOL_HALF_64x32	0.0204418	0.728
DIST_HAD_64x32	0.0515024	14.196
INTERPOL_QUARTER_64x32	0.0421508	0.728
TR_DCT_32x32_1	0.0262349	2.486
TR_DCT_16x16_1	0.0237102	14.901
TR_DCT_8x8_1	0.0169188	57.094
TR_DCT_4x4_1	0.00736858	78.344
DIST_SSE_4x4	0.00647439	157.387
DIST_SAD_32x32	0.0199838	61.88
DIST_SAD_32x32sub	0.00721491	21.938
INTERPOL_HALF_32x32	0.0221353	1.456
DIST_HAD_32x32	0.0521096	28.588
INTERPOL_QUARTER_32x32	0.045599	1.456
DIST_SAD_16x16	0.0247651	247.52
DIST_SAD_16x16sub	0.0092994	92.399
INTERPOL_HALF_16x16	0.0287668	5.824
DIST_HAD_16x16	0.0584279	123.088
INTERPOL_QUARTER_16x16	0.0557455	5.824
DIST_SAD_16x32	0.0221505	123.76
DIST_SAD_16x32sub	0.00787742	44.225
INTERPOL_HALF_16x32	0.0258677	2.912
DIST_HAD_16x32	0.0534004	56.784
INTERPOL_QUARTER_16x32	0.0526281	2.912
DIST_SAD_32x16	0.021369	123.76
DIST_SAD_32x16sub	0.007732	44.491
INTERPOL_HALF_32x16	0.0243417	2.912
DIST_HAD_32x16	0.0532665	56.784
INTERPOL_QUARTER_32x16	0.0482244	2.912
TR_iDCT_32x32_0	0.0183002	1.448
TR_iDCT_32x32_1	0.0129919	1.022
TR_iDCT_16x16_0	0.00676358	3.531
TR_iDCT_16x16_1	0.00688062	3.533
TR_iDCT_8x8_1	0.00302804	7.363
DIST_HAD_16x64	0.000525067	0.28
DIST_HAD_48x64	0.00153596	0.28
TR_iDCT_8x8_0	0.000772145	1.883
TR_iDCT_4x4_1	0.0002885	2.039
TR_DST_4x4_1	0.000552801	4.352
TR_iDST_4x4_1	0.000277197	1.75
DIST_HAD_64x16	0.000302822	0.16
DIST_HAD_64x48	0.000867358	0.16

Frame	3
Others	1.77104	2297.4
TR_DCT_32x32_0	0.0273321	2.6
DIST_SSE_32x32	0.00808542	11.953
TR_DCT_16x16_0	0.0217417	13.898
DIST_SSE_16x16	0.00841129	39.882
TR_DCT_8x8_0	0.00569988	19.672
DIST_SSE_8x8	0.00699158	79.659
DIST_SSE_64x64	0.00281968	0.934
DIST_SAD_64x64	0.0297144	23.205
DIST_SAD_64x64sub	0.0127087	10.303
INTERPOL_HALF_64x64	0.029386	0.546
DIST_HAD_64x64	0.0768918	10.668
INTERPOL_QUARTER_64x64	0.0612495	0.546
DIST_SAD_32x64	0.0288619	46.41
DIST_SAD_32x64sub	0.0114082	18.392
INTERPOL_HALF_32x64	0.0315953	1.092
DIST_HAD_32x64	0.0751599	20.748
INTERPOL_QUARTER_32x64	0.0664006	1.092
DIST_SAD_64x32	0.0302959	46.41
DIST_SAD_64x32sub	0.0103744	16.484
INTERPOL_HALF_64x32	0.0306089	1.092
DIST_HAD_64x32	0.0751072	20.748
INTERPOL_QUARTER_64x32	0.0630987	1.092
TR_DCT_32x32_1	0.0252779	2.392
TR_DCT_16x16_1	0.0228519	14.338
TR_DCT_8x8_1	0.0162762	55.072
TR_DCT_4x4_1	0.00713512	76.416
DIST_SSE_4x4	0.00632473	152.705
DIST_SAD_32x32	0.0299302	92.82
DIST_SAD_32x32sub	0.0135015	41.368
INTERPOL_HALF_32x32	0.0330171	2.184
DIST_HAD_32x32	0.0752249	41.237
INTERPOL_QUARTER_32x32	0.0685288	2.184
DIST_SAD_16x16	0.0373797	371.28
DIST_SAD_16x16sub	0.0148085	147.218
INTERPOL_HALF_16x16	0.042917	8.736
DIST_HAD_16x16	0.0823959	173.684
INTERPOL_QUARTER_16x16	0.083433	8.736
DIST_SAD_16x32	0.033358	185.64
DIST_SAD_16x32sub	0.0125576	70.419
INTERPOL_HALF_16x32	0.0385678	4.368
DIST_HAD_16x32	0.0775202	82.992
INTERPOL_QUARTER_16x32	0.0788461	4.368
DIST_SAD_32x16	0.0319926	185.64
DIST_SAD_32x16sub	0.0122565	70.292
INTERPOL_HALF_32x16	0.0362667	4.368
DIST_HAD_32x16	0.0778005	82.992
INTERPOL_QUARTER_32x16	0.0723202	4.368
TR_iDCT_32x32_0	0.0152615	1.208
TR_iDCT_16x16_0	0.00619341	3.242
TR_iDCT_32x32_1	0.0111721	0.882
TR_iDCT_16x16_1	0.00595398	3.069
TR_iDCT_8x8_1	0.00262255	6.353
TR_iDCT_8x8_0	0.000666189	1.622
DIST_HAD_16x64	0.000449604	0.24
DIST_HAD_48x64	0.00131518	0.24
TR_iDCT_4x4_1	0.000297234	2.117
TR_DST_4x4_1	0.000436061	3.52
TR_iDST_4x4_1	0.000221316	1.387
DIST_HAD_64x16	0.000257283	0.14
DIST_HAD_64x48	0.000769077	0.14

Frame	4
Others	2.83196	3270.56
TR_DCT_32x32_0	0.0425902	4.076
DIST_SSE_32x32	0.0118476	17.519
TR_DCT_16x16_0	0.0315103	20.076
DIST_SSE_16x16	0.0127332	60.193
TR_iDCT_16x16_0	0.0157776	8.266
TR_DCT_8x8_0	0.00918018	31.44
DIST_SSE_8x8	0.0104101	120.11
DIST_SSE_64x64	0.00358953	1.198
DIST_SAD_64x64	0.0394398	30.94
DIST_SAD_64x64sub	0.016179	13.121
INTERPOL_HALF_64x64	0.0389643	0.728
DIST_HAD_64x64	0.108581	15.064
INTERPOL_QUARTER_64x64	0.0820858	0.728
DIST_SAD_32x64	0.0383315	61.88
DIST_SAD_32x64sub	0.0154008	24.928
INTERPOL_HALF_32x64	0.0419108	1.456
DIST_HAD_32x64	0.0983688	27.3
INTERPOL_QUARTER_32x64	0.0882411	1.456
DIST_SAD_64x32	0.0402391	61.88
DIST_SAD_64x32sub	0.0158113	25.248
INTERPOL_HALF_64x32	0.0405242	1.456
DIST_HAD_64x32	0.0983901	27.3
INTERPOL_QUARTER_64x32	0.0840012	1.456
TR_DCT_32x32_1	0.0344298	3.273
TR_DCT_16x16_1	0.0310753	19.495
TR_iDCT_16x16_1	0.0180119	9.268
TR_DCT_8x8_1	0.0212115	71.878
TR_DCT_4x4_1	0.00992745	107.016
DIST_SSE_4x4	0.00858711	213.342
DIST_SAD_32x32	0.0398161	123.76
DIST_SAD_32x32sub	0.0210963	64.134
INTERPOL_HALF_32x32	0.0439484	2.912
DIST_HAD_32x32	0.105494	57.946
INTERPOL_QUARTER_32x32	0.0912483	2.912
DIST_SAD_16x16	0.0496167	495.004
DIST_SAD_16x16sub	0.0261855	259.315
INTERPOL_HALF_16x16	0.0570936	11.648
DIST_HAD_16x16	0.114035	240.52
INTERPOL_QUARTER_16x16	0.111991	11.648
DIST_SAD_16x32	0.0443172	247.52
DIST_SAD_16x32sub	0.0198409	111.52
INTERPOL_HALF_16x32	0.0513747	5.824
DIST_HAD_16x32	0.101757	109.2
INTERPOL_QUARTER_16x32	0.105747	5.824
DIST_SAD_32x16	0.0430212	247.52
DIST_SAD_32x16sub	0.0187399	108.029
INTERPOL_HALF_32x16	0.0481833	5.824
